"Comprei, mas não chegou"
"como eu já disse, comprei um casaco 56/58, mas ele está mais p/48"
"A blusa é linda e super estilosa. O tamanho ficou grande pra mim, mesmo sendo P. Fiz uns ajustes e ficou ótima!"
Gostei muito. Só acho que poderia vir no kit uma escova menor para cabelos mais curtos
"Um material ótimo, os comentários são profundos e de excelente compreensão. Não conhecia o material, porém fiquei muito satisfeita com o produto."
Maravilhosa e ótimo caimento
Lindas Camisas e de ótima qualidade.
"pelo site de procura google, e ja indiquei para amigos que tabém ja efetuarão a compra."
Não borra a folha atrás.
"Pela confiabilidade da marca, e também por opiniões de usuários."
"Fixação fraca, projeção fraca, e embalagem com uma rosca inútil."
Alto poder de hidratação alem de uma excelente fragrância. 
"O produto é ótimo!Os cremes são maravilhosos, sem contar o preço que paguei por eles, custo benefício ótimo! Recomendo."
"Produto muito bom, cores vivas da cabana. Madeira reforçada, recomendo com certeza! Meu filho adorou."
produto em perfeito estado.
"não gostei , muito complicado para conseguir cortar , parece desamolado"
ótimo...amei conforme o anúncio :D 
"Excelente Assault como sempre, tradição musclepharm"
"Gastava muito nos salões de beleza. Agora com a escova, eu mesma faço meu cabelo. Estou amando!!!"
"gostei muito,a carne ficou suculenta!"
"O custo benefício não é bom. Pouco produto, preço alto e deixa o cabelo um pouco ressecado."
"muito bom, ficou um pouco grande no colchão"
"É um bom produto,quando-se-fala de OBoticario se-fala colônia (arbo) de qualidade "
"Muito bom! Amei , é doce sem enjoar."
"Produto ótimo, e o prado de entrega super bom. "
Excelente livro. Leitura contagiante.
Eu achei o produto rasoavel pois algums furos nao estava coicidindo com o da lataria.
Exatamente o que esperava. 
Boa qualidade. Produto como foi descrito.
"Olha para ser bem sincera, ele nao e tudo o que eu esperava. Meu cabelo ficou um pouco macio com a escova, porem depois que suei ficou com aspecto endurecido. Muita propaganda e pouca qualidade."
"Amei os produtos, chega bem rapido e confiante e de otima qualidade"
"Entrega dentro do programado, produto de excelente qualidade, garantia de 1 ano."
"Ainda não instalei mais parece boa
"
Ótima qualidade e muito bonita
"O produto é bonito, barato, bom, atendeu minhas necessidades e chegou num ótimo prazo."
"Òtimo, hidrata a pele. Recomendo."
"Produto realmente si diferenciou...pelo silêncio, pela potência e é muito lindo...um diferencial foi esse pequeno controle...resumindo...excelente produto, vale o que custa ;)"
"Muito bom, vale a pena"
"A qualidade me surpreendeu.
muito bom."
"Pedido de um professor na faculdade, apesar de ficar bem claro, o grafite é resistente e apaga facil"
produto muito bom gostei mesmo
Muito bom!! Os cabelos ficam com um aspecto limpo e ao mesmo tempo brilhoso e sedoso. Recomendo!
"Ridículo, lâmpada veio errada, demora pra envia, as lâmpadas tem cores diferentes.
"
"O produto é maravilhoso, pois a loja n cumpre com o combinado de até 7 dias úteis... Pois recebi com 15 dias "
"Muito bonito, estiloso, mas acabamento um pouco a desejar"
Muito bom o produto material de primeira 
"Adorei tanto os esmaltes quanto o BB Cream. Ele, no entanto, poderia ser mais sequinho. "
Ele é muito funcional.
Escolhí porque minha professora usou no curso.
O produto foi o esperado
cor adequada. embalagem bonita. 
promoções juntas são mais vantajosas.
Otima fixação na janela...auxilia muito na limpeza
"gostei do fato de ter a mesma potencia da lampada original, tem umas por ai que são mais potentes e ficam atrapalhando os carros no sentido contrário"
Produto ótimo chegou rápido 
pq foi fácil de instalar e rápido!
"Uma abordagem muito completa para um curso de apenas 4h de duração. Professores altamente capacitados e experientes, todos profissionais da área que trabalham em grandes empresas que representam cases exemplo para novos empreendedores. Ótima compra."
Linda! Bem comprida! A P veste bem manequim 38/40.
"Produto de boa qualidade, recomendo."
"O produto é maravilhoso, e o preço super honesto."
muito bom produto dentro das especificaçoes
Adorei a blusa e achei de muito bom gosto.
"eu achei muito bom.
não gostei de não conseguir acompanhar a entrega pelo site."
"Não funciona muito bem,. Minha expectativa era de que ele soltasse o sorvete facilmente, o que não acontece."
muito bom o produto
"O PRODUTO E ORIGINAL,VEIO CERTINHO VCS ESTÃO DE PARABÉNS !"
"Linda estampa, ótimo material. Só o cós que ficou um pouco largo. Vejam as medidas antes de comprar. "
"Sim, gostei muito bom é aquilo que a Asics especifica, sem enganação. Muito bom pra corrida e musculação. Já testado!"
"Comprei os cartuchos, e depois verifique que não eram compativel com a multifuncional fabricada na Tailandia.
A PrintLoja aceitou a devolução.
Parabens pelo atendimento."
"Excelente produto, otima qualidade!"
Porque ele é delicioso!
"Produto já é conhecido, mas o atendimento foi ótimo "
"Muito bom, cheiroso e demora para acarbar, recomendo,"
Muito fofos e criativos. Amei!!!
gostei e indico  as pessoas 
"O produto é ótimo. Segui cuidadosamente todas as instruções, o resultado ótimo. "
Maridão adorou. Ficou super cheiroso
"Excelente, produto de ótima qualidade"
"Esse perfume é maravilhoso  ,ao mesmo tempo suave e marcante . Adoro pois tanto posso usá-lo de dia ou à noite !
"
"Produto muito bom, leve e eficiente. Fora o atendimento da Época Cosméticos que é sensacional!"
adorei o atendimento e veio o produto como eu imaginava. recomendo pra todos 
Por conhecer as prop
Produto de excelente qualidade nota 1000 para o produto é a loja
Ensinamentos e norma de conduta mediúnica
"Discreto, confortável e elegante. Bjs"
"Fácil de aplicar e disfarça as olheiras
"
Malha de otima qualidade
Não gostei da fragrância.
ESSE PRODUTO E EXCELENTE!!!JA COMPREI VARIAS VEZES...SUPER RECOMENDO!!!!
Estilo diferenciado. Conforto e praticidade.
"Excelente Saca Câmbio, ótimo material, fácil manejo e de uma utilidade ímpar."
"Excelente produto, entrega rapi"
"Muito confortável, bem similar aos que são vendidos nos parques americanos (Disney, Universal)."
muito bom vale apena comprar
"ótimo produto, precisa melhorar apenas uma forma de trocarmos apenas o filtro"
Adorei o creme. Tem textura e absorção ótimas!
nota 2 para a camiseta
Utilizei ajuda do suporte e ocorreu tudo bem.
"Fui enganado pelo anúncio, nele dizia que o o mesmo teria 3200 lumens de luminosidade, quando na verdade tem apenas 2700 lumens, dizia que teria uma vida útil 60000 horas de uso, quando na verdade apenas 30000. Sem contar que os parafusos já apresentam sinal de ferrugem."
Ganhei um de presente e amei
"Cadeira muito boa e confortável, pouco reclinável mas pelo preço está ótima!!!"
Muito boa nota 5 
"só funciona bem com modulo, mas recomendo!"
Modelo lindo !! super confortavel 
"muito boa. ótima fragrância, delícia."
Bom preço e entrega no prazo.
"Boa tarde!! Ótimo produto, até a próxima!!"
na minha opinião nota justa
Pq a marca não precisa de comentarios
"Amei, muito refrescante !!"
o relogio não esta funcionando os ponteiros menores e a data esta atrasando. Ja mandei e-mail mas nao tive posição. 19 99799 5199
Blusa muito bonita e bem feita. Adorei!
O  Produto  veio  com  defeito a  verde  escuro
Produto muito bom recomendo o !!
"Bonito, confortável e para ficar ótimo sugiro que passem a colocar o ziper na frente.

Neide Godoi"
"Muito bom, recomendo.
Agora posso comer minhas frituras sem sentir culpa"
"Produto excelente, tamanho, material e acabamento! Recomendo!"
"É muito bonito e prático, pois facilita o respeito no trânsito!"
"ficou muito bem adaptada, renovou o porta malas"
"PELO PREÇO E ÓTIMA QUALIDADE,FIQUEI MUITO SATISFEITA."
"Muito bom e linda, faz barulho mesmo, mas é normal e é suportável."
Eu achei muito boa
Deixa os pelos macios e os bichos tranquilos
"É bom. No começo parece que vai ficar oleoso, mas logo o produto é absorvido pela pele."
Adorei o cheirinho de perfume na cola
bom chegou no prazo! recomendo a todos !
Ótima camera! Estou muito feliz com a aquisição.
"mt bom, entrega rapida, bem embalado"
"Produto atendeu as expectativas, somente alguns pontos de soldas fracos. Recomendo"
Meu esposo sempre quis um Zaad ai resolvi presenteá-ló. 
"VESTE BEM GOSTEI MUITO,,"
"Conforme esperava, entrega dentro do prazo."
"Ótimo! Amei, lindo, super apaixonada"
"Amei! O produto é embalado a vácuo, achei a qualidade espetacular "
"o produto é bom, a entrega no entanto é absurdamente demorada."
gsoto muito dessa marca embora as bermudas sejam um pouco compridas
"Ameiiii, era o que esperava! "
"extremamente perfeito, alem de cheiroso, hidratação 100%"
Entrega rápida e produto de qualidade.
"Site seguro.
Entrega super rápida.
Tudo certo conforme anunciado."
Adorei este colágeno! Ele melhorou muito meu cabelo e minha pele em volta dos olhos. Foi recomendado pela minha nutricionista. 
Antendeu perfeitamente minhas expectativas e necessidades 
ainda nao instalei mas espero ter comprado o modelo certo para o carro
Muito bonito e a relação custo benefício é satisfatória . Recomendo
"Quando imaginei estes dizeres na parede, ficaram exatamente como pensei. Tamanho e cor combinaram com meu quarto. "
"Excelente instrumento, custo benefício perfeito... Totalmente satisfeito!"
Melhor mascara da vida!!! Super indico
Eu achei os produtos ótimos e que ajudam reagente a organizar
o friso lateral ficou mais escuro que a cor do carro.
"Mto bom!!
tudo certo e até antes da data de entrega "
hbch hsbcshbc ahbscajcb janc jan c.
"Apesar das instruções do livreto, ainda não obtive a resposta necessária acerca da umidificação do equipamento. Não sei se não estou familiarizado com a tarefa, mas minhas narinas continuam ressecadas ao acordar pela manhã. Acho que o umidificador não está resolvendo essa situação."
"Produto maravilhoso, é um perfume marcante mas não achei tão doce, a fixação é ótima também. Meu marido adorou!"
o produto é de ótima qualidade. Porém joguei apenas dois finais de semana e já identifiquei a parte do calcanhar descosturando.
Gostei do kit e do valor
"Adorei o produto muito bom , e a entrega feita no prazo "
"produto muito bom,porém o cooler faz muito barulho ."
Produto bom porem chegou depois do prazo.
Apesar de não ser Multifuncional Gostei pelo custo beneficio. 
"Ruim veio com os terminas quebrados,o botão de má qualidade e um dos farois queimou o brilho interno e foi levado para um profissíonal Eletricista da Bosch automotivo que teve de refaser oque estava ruim e não aguenta Xenon como indicado. Se colocar vai derreter."
"Uso faz tempo, gosto muitíssimo !"
"geeente esse vestido é um arrazo!!!!
malha otima fica lindissimo "
"O preço foi definitivo pela escolha e opinião dos clientes.
"
"OTIMA SUPEROU MINHAS ESPECTATIVAS 
PARABÉNS A COLOMBO"
Adorei. Confortável e útil 
De acordo com o preço a qualidade e acabamento do produto é excelente.
O produto é de boa qualidade!
"Estou com o produto há 2 semanas e até então funciona perfeitamente, sem travar ou ficar lento.
4G funciona bem, câmera, apesar de ter poucos MegaPixels, tem boa qualidade de imagem e os recursos de atalhos e acessibilidade são excelentes."
Achei muito bom a cueca adquirida.
Linda e muito útil!
Comprei sem conhecer com base em comentarios...boa projecao e fixacao mas a fragancia deixa a desejar
"Muito, muito bom... como todos de Montblanc..."
100 % deixa o cabelo bem hidratado
Produto muito bom. Atendimento da loja excelente.
Muito bom produto. Adorei!
"a unica coisa que não deu problema ainda, mas pela qualidade do farol e lanterna que comprei acho que logo terei problema com esse olho de gato tambem "
MUITO BOM OTIMA QUALIDADE
"Produto excelente, cheiro duradouro. "
funcionou perfeitamente conforme o anunciado.
"achei o produto incrível, mas o seu é efeito é sem igual quando utilizado antes do shampoo para hidratar, conforme instrução no rótulo. O cabelo fica muito hidratado, muito desembaraçado, além de macio e muito cheiroso!"
"Produto de qualidade, recebi no prazo informado e super bem embalado. "
"Como avaliar? Nao recebi o produto comprado ha um mes.
"
PRODUTO DE BOA QUALIDADE E ÓTIMO PREÇO.
Recebi o produto em perfeitas condições e foi o que esperava. Prazo de entrega muito rápido.
"ótimo produto, cumpre o que promete"
"bom produto, tem reforçados e uns mais fracos não entendo."
"Muito bom! econômico vale muito apena comprar, adorei!"
Maravilhosamente suave e altamente hidratante.  Fantástico.  
"otimo produto, de otima qualidade"
o produto é de boa qualidade e preço baixo.
A pessoa presenteada gostou
Muito bom produto entrega rápida 
"O produto me surprendeu, pois possui todos os componentes que eu buscava na sua formula e é natural. Gostei muito."
"Silenciosa, não muito rápida, boa capacidade, fácil de usar."
Muito bom o produto e entrega antes do prazo
"Liiiinnnndooo!!! Produto ótimo, excelente qualidade!!!
Entrega antes do previsto!!!!
Aprovo e recomendo!!! Parabéns a toda equipe!!!"
"AMEI tudo!!!!!!! Amei! Amei! Amei! Os cadernos e bloquinhos são lindos, a escrita fica perfeita e fez o maior sucesso lá na faculdade."
"Muito bom! Funciona como anunciado, porém é um pouco frágil. Deve ser manipulado com cuidado pois quebra facilmente."
Na verdade eu fiz uma troca e achei a blusa linda.
Prático e de fácil instalação.
"Adoro o meu ele é ótimo 
"
Otima qualidade e rapida entrega
"Amei!! Do tamanho q eu queria, cor maravilhosa, modelo moderno... perfeito!"
"Só senti a falta do manual , mas adorei a compra ele é muito bonito ."
"Melhor custo/beneficio
boa e barata... numeracao deu certo, cal'co 38, comprei 39, ficou perfeita"
"EU ACHEI MARAVILHOSO ,PQ AMO ESSE PERFUME !"
"O kit tbm amei, eu nao usava condicionador nos cabelos, pq sempre deixavam meus cabelos com uma aparencia de resecados, este eu fiz o teste e nao resecou, pelo contrario, esta cuidando dos meus cabelos. A cada dia que passa, meus cabelos estao com maid brilhos e hidratados da raiz as pontas"
"Este produto adorei deveria ter em outras estampas e no comprimento até os joelhos
 Para ficar em casa é  a melhor roupa."
"Gostei do produto, compativel com a descrição."
"a mesma esquenta muito, "
des que comecei usar eu nunca mais parei de usar e minha marca registrado obrigado
Eu acho que é a melhor fragrância que o boticário inventou ate hoje.Amo muito essa frangacia uso desde de quando lançou. 
"Ótimo produto. Refrescante, cheiro gostoso, atende as necessidades que procuramos, quanto a queda não observei nada significativo pq comecei a usar agora, para ver mais resultados é uso contínuo, porém logo de inicio estou gostando bastante do produto. Só o preço que poderia ser um pouco mais em conta."
"Gostei muito do produto que adquiri , a qualidade é excelente !
A aplicação é muito fácil , simplesmente gostei demais !
Ficou lindo na minha sala !"
O bikini é lindo!  Exatamente como eu esperava. Veste muito bem. Gostei. 
Por  que foi exatamente o que comprei e a entrega no prazo combinado
O meu filho adorou o produto.
"Ótimo!
Já uso há dois anos 
Muito feliz em encontrar com vcs 
Agradecer a atendente pelo envio urgente com sucesso para SPaulo "
Muito bom produto e embalagem de qualidade sem falar no Preço justo..
"EXCELENTE PRODUTO, ACABAMENTO IMPECÁVEL, COR LINDA"
"Já conhecia o produto, sei que é de otima qualidade."
"adorei, muito cheiroso, entrega rápida "
"segundo informaram a uma ou duas pecas
chegaram quebradas "
"Produto de ótima qualidade, preço justo e entrega bastante rápida. "
"É perfeita, a pele fica com um toque aveludado delicioso."
"Produto muito bom, apenas achei que não ilumina tão bem quanto o xênon,mas mesmo assim ainda comprarei as mesmas para colocar no farol de milha"
"Após 3 dias que reclamei por não conseguir atualizar os mapas via Toolbox, continuo sem solução.
Uma das telas congela e só é possível resolver desligando o aparelho, para o que também ainda não tive solução.
Como ainda não usei não posso avaliar, mas o produto aparenta ser satisfatório para o que eu esperava, caso venha a funcionar corretamente.
O suporte de sustentação do aparelho não parece aguentar o peso do mesmo."
Produto de boa qualidade conforme o esperado
"ótimo, deixa o cabelo macio e hidratado."
"Produto de excelente qualidade, adorei!... "
"Exatamente como esperado, e achei muito forte ainda mais quando em conjunto com os outros imãs. Entrega rápida e compra sem qualquer problemas. Recomendo."
Não recebi este bride.
"Eu adorei... Chegou super rápido!!!
Obrigada"
"Peixinho delicado, com detalhes das escamas, olhos e barbatanas. Muito bem acabado e de bom gosto.
Vou presentear meu marido e tenho certeza que ele vai amar o presente."
Ficou bem para o meu filho.
Produto de alta qualidade o melhor do mercado no 10.
"leve hidratação, mas falta mais nutrição"
"Lindo, só usar uma roupa simples que ele garante o visual."
porque as clientes gostarão do produo
"Muito linda! Como todos os produtos da Creare, nota 10."
Muito confortavel e reforçado.
"Ela comprime a barriga, mas também amassou o bumbum e marcou SIM nas pernas. Não vi benefícios."
bom produto funcionou atendimento bom 
"Produto de excelente qualidade, é realmente o que eu esperava. Gostaria de agradecer muito a equipe da Fiero que foram super desicados comigo, já que precisei realizar a troca da bota por um número a mais. Eles foram super atenciosos e trocaram sem problemas e super rápido. Eu recomendo Fiero!"
Não veste bem. Desisti da compra e até hoje a loja não me enviou o crédito ao qual tenho direito. 
Excelente..Sensação de quem acabou de sair do banho
Indicaçao da vendedora. E o te guarani? Quando vem?
Eu achei o produto...achei que fosse vestir melhor...
"lindooo perfeito, do mesmo jeito q o anucio... obrigada"
"Linda camiseta,ótimo preço.Boa p malhar."
"Estou testando ,só  depois de usá-lo vou poder dizer"
O produto chegou com problema mas resolveram. Agradeço.
"Maravilhoso!!! Foi sucesso absoluto! Mas minha caçula (de 1 ano e 10 meses) gostou tanto que acha que o beliche é um lindo castelo para brincar, o que acabou tornando o produto um pouco perigoso para a idade dela. Fora isso, o beliche é maravilhoso, bem acabado e resistente!"
excelente produto com otimo preço.
Ótimo custo benefício e de uma marca super conceituada. Indico!!!
"Adorei  comprar com
Vocês. Chegou muito rápido 
Credibilidade. Confiança. E rapidez 
Super recomendo 
"
sensacional muito bom esse charuto suave perfeito eu recomendo a todos que ainda não experimentaram...
"Pq eu comprei e achei o produto muito top 
Recomendo para qualquer pessoa que queira deixar o carro mais bonito "
Bom tecido e caimento da blusa.
"chegou com defeito. Mas consegui trocar com alguma tranquilidade (levou 1 mes). Mandaram um novo, que funciona bem."
custo beneficio deixa a desejar
"Este é um produto, onde comprar o barato sai caro!!"
"Amei o produto!!!
O atendimento nota 1000"
"Simplesmente perfeita essa calça, veste super bem."
"O produto chegou em dois dias depois da confirmação do pagamento, os encostos são lindo e de otima qualidade ... Com toda eu super recomendo."
"Bom produto, boa qualidade, bonito e confortável. No geral, é um bom
relógio, recomendo. "
Eu gostei é um ótimo produto 
"Produto de excelente qualidade, super recomendado!"
A calça é linda e confortável!  É para quem gosta de cintura a
"Bom, adorei o forro da calça, pois é quentinha. Mas ela largueou conforme fui usando e achei que era mais firme na cintura."
"Ótimo produto, entregue dentro do prazo! Excelente atendimento! Sem reclamações! "
corta eva e papel facilmente
Camisa muito bonita. Vale a pena comprar
"Produto excelente, atendimemto muito bom
"
"Adorei esse perfume. Mto bom .
"
Alem de ótimo produto e muito bonito... super recomendo
"Excelente cadeira, fácil de montar, ótimo custo benefício"
eu achei o produto otimo e site tbm mt bom msm 
"Boa qualidade bom preço entrega rápido
"
Já usava adoro este perfume 
Produto de excelente qualidade!
"Esse meu pedido de óculos chegou bem rápido, coisa de 8 dias úteis, dentre os 15 que eles dão."
simplesmente perfeita!cores lindas e durabilidade tambem.
são maiores do que pensei e tem linhas amei!
Produto lindo e com qualidade.
bom aproveitamento do produto
a camiseta é super cavada na lateral e não dá pra ver na foto.
"Hidratação potente e aroma intenso, gosto muito!"
"excelente, funcionou perfeitamente e muito fácil para a montagem."
O produto e bom mas  o tecido + forro resultaram em uma saia mais quente que o inicialmente previsto 
Perfeito. Pena que não consigo comprar maior variedade de modelos Harley com esta proporção 1:12.
Muito bonito e moderno !! Gostei!!
"Dentro do padrão informado.
Muito bom."
produto excelente! gostei muito!!
"Porque por parte da Samatec fui bem atendido, agora por parte dos correios até agora dia 02/05/2017 as 17:55 horas não recebi, o rastreamento travou no dia 23/4 no envio de Salvador para Muritiba
"
"Tudo ok, ótimo tênis recomendo"
"Leve, confortável e bonito."
"Bonito Esteticamente,vou testa lo agora."
ótimo filtra mesmo ok sem mais
EXCELENTE PRODUTO....BATE MUITO BEM!!
Produto de excelente qualidade.
"Ótimo produto, recomendo! Chegou antes do prazo!!"
"OI BOA NOITE,PENSEI QUE FOSSE UM TECIDO MAIS ENCORPADO,MAIS GOSTEI"
"Muito bom pelo o preço do produto
"
"Fácil instalação, bonito e rápida entrega"
"Adorei,  voltou a minha época de infância.  Loja muito boa!  Pessoal sempre prestativo!  Recomendo!  "
Qualidade do produto razoavel.
"Produto ótimo, com excelente qualidade. Recomendo a todos!"
"gostei probuto muito bom recomendo
"
Maravilhoso faz o que promete
Ótimo produto veio conforme a descrição e super rápido!
"achei muito bom ,recomendo"
Minha nota é zero porque estou esperando há 20 dias para receber um produto que paguei (frete de 160 reais) para receber em quatro dias e até agora nem sinal e nenhuma satisfação da loja.
Produto veio como era esperado!!
produto de qualidade 
Perfeito o cachorro adorou e gastou muita energia brincando com ele.
"CORDÃO PEQUENO, NÃO SENDO COLAR E SIM GARGANTILHA."
O produto nao serviu no meu filtro. 
Excelente... confortável e dentro da expectativa.
Muito graciosa e pratica na montagem
Esse produto é óptimo
O livro ê muito bem escrito e elaborado!
produto boa qualidade e dentro do prazo de entrega
"PERFEITO, AGORA É SÓ CRESCER E RENDER SEUS FRUTOS."
"muito bom,superou minhas espectativas e ótimo preço."
"Bom Home Theater, mas contava com 2 entradas auxiliares (RCA) conforme
descrito nas especificações do produto mencionada na propaganda
do fabricante."
"Muito divertido e engajante, esyou ancioso para ver o que Ozob vai fazer a segir."
o produto foi bem explicitado e correspondeu ao que esperava
A entrega poderia ser mais rápida.
"Deixei me enganar muito pela foto, esperava um acabamento melhor."
a cola que fica entre o chaveiro e o adesivo soltou;
"Mt bom, espetacular. "
"Produto excelente , de acordo com o combinado "
"Produto de boa qualidade,entrega super rápida, compraria novamente desta loja com certeza."
"Ótimo.
Mantém o pé quentinho
Uma delicia"
"As molas traseiras vieram errado (deixaram o carro mais alto). Só fui reparar com o carro já desmontado então mandei cortar para evitar retrabalho e gastos desnecessários. Mas mesmo assim, recomendo. Principalmente pelo pós venda que foi excelente."
"Amei, já conhecia, porém não tinha tido a oportunidade de comprar. Fiquei muito satisfeita!!"
Ótimos produtos .Ótimo 
"Eu achei ótimo e de qualidade muito boa, além da entrega que foi super rápida. Recomendo!"
A imagem do produto no site não corresponde à imagem que chegou do produto. Entretanto aceitei numa boa já que a imagem também se refere à Star Trek.
perfeito amei otima qualidade
Porque a entrega foi super rapida e o produto é exatamente o que eu esperava.
 ESTE PRODUTO E PELO MENOS ACEITAVEL
"boa e confortavel 
"
Produto original de ótima qualidade!!
Eu achei o produto otimo!
Presente para o meu pai.
"excelente produo
qualidade e rapidez"
Produto muito bom e bonito! Produto leve!
Eu vi pela internet e gostei e pedi otimo
Facilitador nos trabalhos em patchwork
Deixa a pele limpa com um cheiro delicia... Amei o produto.
Produto de qualidade. Entregue no prazo.
"COMPREI ESTA MARAVILHA DE CAMISA PARA A MINHA NETA, QUE TAMBÉM COMO O AVÔ, SABE ESCOLHER BEM UM PRODUTO DE QUALIDADE. "
pq nossa pequenina filha ESTRELINHA adorou e melhorou sua alergia e tbm sua obesidade ela amou essa ração
"Não eh rode. Procuro um perfume amadeirado , Musk  , almíscar ,mas esta dificil"
E especial esse desodorante gostei muito.
"Ótimo produto, superou minhas expectativas "
"
O PRODUTO E DE BOA QUALIDADE E ENTREGA RAPIDA.

MUITO OBRIGADO JR"
"fácil de instalar, prático e inteligente"
"Eu achei o produto lindo e maravilhoso ! Mas o cabo um pouco fragil .O site é excelente . Entregou rapido a mercadoria , com certeza recomendo o site!"
"MUITO BOM O PRODUTO, E ENTREGA REALIZADA COM ANTECENDENCIA."
"Porque não  é  o mesmo produto anunciado na foto, o produto que eu recebi."
"Excelente produto . Cumpre
O prometido , aliado com programa de exercícios  e reeducação alimentar ."
"Senhores segue meus comentários.

A entrega do produto não foi satisfatória apresentando as seguintes características:

- embalagem aberta e rasurada;
- áreas raspadas
- algumas partes trincadas;
- sujo;
- o produto estava sem acomodação adequada, permitindo que o mesmo se movimentasse dentro da caixa;


Com isso, não foi possível realizar a montagem. Já entrei em contato com a Polishop para retirada do mesmo, pois não existe a possibilidade de envio através dos correios e informo também que sefaz necessário o envio de uma fita para fechar a caixa.

Desde já agradeço.

Laura C. Silva"
Rapido para transferencia de fotos para o pc.
"A melhor compra q eu fiz maravilhoso s entrega tbm foi pontual recomendo a loja e principalmente o produto
"
Cheiroso e cremoso. Ótimo!
"a marca tec one e melhor , melhor lampada que ja comprei , melhor visualizaçao "
"É milagre no potinho, minha pele melhorou muito depois que comecei a usar, não usei no cabelo"
Produto atende o que se propõe a fazer.
"Produto de excelente qualidade, entrega antes do prazo previsto, superou minhas expectativas."
Eu achei o produto ótimo
Muito bom!!! Ameniza o emborrachamento do fio na hj
"Ainda não testei o demaquilante,o cheiro não é muito ruim ! Mas ainda não posso dizer se é daqueles que deixam a pele oleosa ! "
"Gostei muito, chegou no prazo e era exatamente como mostrado! Amei!!"
Eu adorei o relógio é lindo e estiloso. A entrega foi rápida. Muito bom.
"Adorei, material bom e resistente."
Bom o material. Gostei. 
"Ótimo produto, atendeu plenamente atendendo a expectativa!!"
"Muito bom como repelente de insetos, gostei!"
"que não alisa como eu esperava, faço escova porem se soar ou o tempo estiver úmido o cabelo não fica anti frizz e cacheia, então me senti como tivesse usado um creme para pentear, exemplo: seda liso, esperava um alisante sem harmonia e não alisou"
Adorei esta mascara! Meu cabelo ficou mega macio e leve. Super recomendo.
Escolhi a marca Hp por sempre que necessito de impressora o que me satisfaz e a Hp.
"serviu como eu esperava, muito bom
"
Obra Excelente e de muita reflexão e Aprendizado. Recomendo leitura.
"Horrível, mesmo na segunda troca... as cargas não escrevem, e uma novamente veio com a ponta solta. Mercadoria sem qualidade..."
"o shampoo me foi recomendado pelo meu cabelereiro para queda de cabelos. Comecei a usar agora, o profissional disse que é muito bom.Vou aguardar o resultado."
otimo produto funcionou perfeitamente
"Produto e lindo, otima qualidade,amei super barato e a entrega super rapida."
"muito bom o móvel, exatamente como mostra na foto."
"Gosto muito dessa linha de produtos e deixa meu cabelo protegido, macio e cheiroso, gostei muito"
